Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X, Y, Intended X, Intended Y, Scan Velocity, Laser State, Laser Rep. Rate, Spot Type, Spot Size, Spot Angle, MFC1, MFC2, Cell Pressure, Fluence At Sample
2019-04-15 10:40:38.757,,,,,15829,61730,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:40:38.757,,,2,,15829,61730,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:41:11.396,,,,,16901,61730,16901,61730,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:41:11.396,,,,,16901,61730,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:41:23.039,30,1,,Line 3 (Copy 15) (Copy 11),15829,61779,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:41:23.039,,,1,,15829,61779,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:41:23.039,,,,,15829,61779,15829,61779,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:41:23.039,,,,,15829,61779,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:41:23.039,,,2,,15829,61779,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:41:55.578,,,,,16899,61779,16899,61779,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:41:55.578,,,,,16899,61779,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:09.624,31,1,,Line 3 (Copy 15) (Copy 12),15829,61830,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:09.624,,,1,,15829,61830,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:09.624,,,,,15829,61830,15829,61830,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:09.624,,,,,15829,61830,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:42:09.624,,,2,,15829,61830,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:42:42.371,,,,,16901,61830,16901,61830,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:42:42.371,,,,,16901,61830,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:53.922,32,1,,Line 3 (Copy 15) (Copy 13),15829,61879,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:53.922,,,1,,15829,61879,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:53.922,,,,,15829,61879,15829,61879,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:42:53.922,,,,,15829,61879,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:42:53.922,,,2,,15829,61879,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:43:26.414,,,,,16897,61879,16897,61879,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:43:26.414,,,,,16897,61879,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:43:39.980,33,1,,Line 3 (Copy 15) (Copy 14),15829,61930,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:43:39.980,,,1,,15829,61930,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:43:39.980,,,,,15829,61930,15829,61930,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:43:39.980,,,,,15829,61930,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:43:39.980,,,2,,15829,61930,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:44:12.543,,,,,16899,61930,16899,61930,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:44:12.543,,,,,16899,61930,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:44:26.579,34,1,,Line 3 (Copy 15) (Copy 15),15829,61979,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:44:26.579,,,1,,15829,61979,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:44:26.579,,,,,15829,61979,15829,61979,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:44:26.579,,,,,15829,61979,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:44:26.579,,,2,,15829,61979,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:44:59.070,,,,,16896,61979,16896,61979,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:44:59.070,,,,,16896,61979,,,,Off,0,Manual: G,50,0,0,0,0,
